Country,Rank
Cyprus,1
Denmark,2
Hungary,3
Singapore,4
UnitedKingdom,5
Uruguay,6
Spain,7
Slovenia,8
Netherlands,9
Norway,10
Australia,11
Estonia,12
NewZealand,13
France,14
Poland,15
Iceland,16
Qatar,17
CostaRica,18
Sweden,19
Latvia,20
Romania,21
Ireland,22
Switzerland,23
Mauritius,24
Malaysia,25
TrinidadandTobago,26
Luxembourg,27
Canada,28
Japan,29
Finland,30
Austria,31
Germany,32
China,33
Kuwait,34
UnitedStatesofAmerica,35
Philippines,36
Argentina,37
Mongolia,38
Thailand,39
Albania,40
PuertoRico,41
Belgium,42
Paraguay,43
Turkey,44
NetherlandsAntilles,45
BosniaandHerzegovina,46
Israel,47
Brazil,48
Lesotho,49
Colombia,50
SriLanka,51
SouthAfrica,52
Italy,53
Bolivia,54
Chile,55
Vanuatu,56
Aruba,57
Malta,58
Mexico,59
Tajikistan,60
Barbados,61
Zimbabwe,62
Indonesia,63
Uzbekistan,64
Gabon,65
Tonga,66
Suriname,67
Panama,68
Samoa,69
Swaziland,70
Greece,71
SaudiArabia,72
Bulgaria,73
Portugal,74
Myanmar,75
Peru,76
Maldives,77
SaoTomeandPrincipe,78
ElSalvador,79
Brunei,80
WestBankandGazaStrip,81
SlovakRepublic,82
Vietnam,83
RussianFederation,84
Morocco,85
Lithuania,86
Anguilla,87
Liechtenstein,88
PapuaNewGuinea,89
Oman,90
Palau,91
Burundi,92
Croatia,93
Madagascar,94
Ukraine,95
Jamaica,96
CzechRepublic,97
Bahamas,98
Ghana,99
Kenya,100
Libya,101
Togo,102
Gambia,103
Tunisia,104
Azerbaijan,105
Guam,106
Namibia,107
Andorra,108
Belarus,109
Botswana,110
Serbia,111
Kazakhstan,112
Cuba,113
SanMarino,114
NewCaledonia,115
Rwanda,116
Pakistan,117
Sudan,118
ChannelIslands,119
Iran,120
FrenchPolynesia,121
Cambodia,122
Senegal,123
Ecuador,124
Fiji,125
EquatorialGuinea,126
UnitedArabEmirates,127
Bermuda,128
India,129
Martinique,130
Georgia,131
Mozambique,132
Lebanon,133
Guadeloupe,134
Grenada,135
SierraLeone,136
Bahrain,137
GuineaBissau,138
Monaco,139
CaymanIslands,140
Nigeria,141
CentralAfricanRepublic,142
FrenchGuiana,143
AntiguaandBarbuda,144
SaintVincentandtheGrenadines,145
Armenia,146
Seychelles,147
Venezuela,148
Comoros,149
Montenegro,150
IsleofMan,151
Kyrgyzstan,152
AlandIslands,153
Turkmenistan,154
Benin,155
Guinea,156
FaeroeIslands,157
Mauritania,158
Cameroon,159
SolomonIslands,160
MarshallIslands,161
SaintLucia,162
Tuvalu,163
Bangladesh,164
Liberia,165
Egypt,166
Nicaragua,167
BurkinaFaso,168
TimorLeste,169
Iraq,170
Greenland,171
Mayotte,172
Coted'Ivoire,173
Ethiopia,174
Taiwan,175
Belize,176
Chad,177
Guyana,178
AmericanSamoa,179
Haiti,180
HongKongChina,181
MacaoChina,182
Somalia,183
Dominica,184
TurksandCaicosIslands,185
SaintKittsandNevis,186
DominicanRepublic,187
Uganda,188
Algeria,189
Guernsey,190
NorthernMarianaIslands,191
Honduras,192
Eritrea,193
Mali,194
Yemen,195
BritishVirginIslands,196
WesternSahara,197
Montserrat,198
Guatemala,199
SaintHelena,200
WallisetFutuna,201
Lao,202
EritreaandEthiopia,203
SaintPierreetMiquelon,204
Pitcairn,205
Jersey,206
NorfolkIsland,207
FalklandIslands(Malvinas),208
Tokelau,209
Kiribati,210
Djibouti,211
Niue,212
HolySee,213
Gibraltar,214
NorthKorea,215
CookIslands,216
Zambia,217
Nauru,218
SouthSudan,219
Nepal,220
Malawi,221
Bhutan,222
Afghanistan,223
Jordan,224
EastGermany,225
Angola,226
Niger,227
